,lyric,famous_word,total_words,percent_originality,genre
10,chama todas amigas vai ter festinha geral vai estar colaborando amigas chegam mamando amigas chegam encostando uísque vou patrocinando final temque dando tá dando vai então joga então joga bumbum vara então joga então joga acaba safada então joga então joga bumbum vara então joga então joga vai então joga então joga acaba safada então joga então joga bumbum vara então joga então joga acaba safada chama todas amigas vai ter festinha geral vai estar colaborando amigas chegam mamando amigas chegam encostando uísque vou patrocinando final tá dando estar dando vai então joga então joga bumbum vara então joga então joga acaba safada então joga então joga bumbum vara então joga então joga chama tá ligado né vai então joga então joga acaba safada então joga então joga bumbum vara então joga então joga acaba safada chama todas amigas vai ter festinha geral vai estar colaborando amigas chegam mamando amigas chegam encostando uísque vou patrocinando final tá dando estar dando vai,então,161,16.77,funk
11,dj perera tá ligado quer né cachorro tá ligado gosta né pai sonho louco sonho tão mil grau cantava novinha desgruda pau baba chupa sonho sensacional ai dera todas pensassem igual pra mim taca pau pra mim taca pau sensacional sensacional ai dera todas pensassem igual pra mim taca pau pra mim taca pau sensacional sensacional… aiiii dera todas pensassem igual pra mim taca pau pra mim taca pau sensacional sensacional sonho louco sonho tão mil grau cantava novinha desgruda pau baba chupa sonho sensacional aiiii dera todas pensassem igual pra mim taca pau pra mim taca pau sensacional sensacional aiiii dera todas pensassem igual pra mim taca pau pra mim taca pau sensacional sensacional aiiii dera todas pensassem igual pra mim taca pau pra mim taca pau sensacional sensacional,pau,130,23.85,funk
12,boa noite pequena relíquia dona razão vida vai mimi vai mô bebê sonha comigo sonho fazer tá tão longe noite quero cê dorme bem então sonha gente mô neném noite quero ce dorme bem então sonha gente mô neném boa noite pequena relíquia dona razão vida vai mimi vai mô bebê cê sonha comigo sonho fazer tá tão longe cê fica tão linda embaixo edredom fica ainda dentro moletom amo deita aqui peito faço cafuné pra livrar pesadelos acaricio abraço deito conchinha eternamente menina fico olhando tá dormindo digo amo saber tá ouvindo quero bebê quero princesa durmo bem ver dormir bem cê ta tranquila consigo ficar zen passa dia inteiro dentro cabeça vou dormir visita sonho vestida princesa quero bebê quero princesa noite quero cê dorme bem então sonha gente mô neném,quero,133,52.63,funk
13,andando z viu cadê foto cada dia moto helicóptero falar plano fluxo encosto humildade sempre posso certeza tudo iphone lançamento modelo pendurado bombeta gringas poucos aliado ostentar carro moto nunca preferência primeiro queremos paz paciência barraco desabando geladeira vazia barriga ta roncando passei família hoje condição fortaleço bonde sabe falo pra ter sempre fiz onde agora quer vim falar to ficando mala nunca fortaleceu toma vergonha cara ditado antigo funciona momento cuidado indecisão acaba esgotando tempo,moto,76,94.74,funk
14,jeito safada atrevida ta louca pra conquistar ta louca né ta louca né pensei pensei sentando sentando sentando dando pensei mamando mamando mamando mano pensei sentando sentando sentando dando pensei mamando mamando mamando mano soube dizer perfume endoidou fumaça daquele verde gente fumou posso dizer dentro quarto bagulho ta louco quatro paredes gente embraza vai pegando fogo dururururudumdum durududum durududum senta pica fumando durududum durududum senta pica fumando durududum durududum senta pica fumando jeito safada atrevida ta louca pra conquistar ta louca né ta louca né pensei pensei sentando sentando sentando dando pensei mamando mamando mamando mano pensei sentando sentando sentando dando pensei mamando mamando mamando mano soube dizer perfume endoidou fumaça daquele verde gente fumou posso dizer dentro quarto bagulho ta louco quatro paredes gente embraza vai pegando fogo dururururudumdum durududum durududum senta pica fumando durududum durududum senta pica fumando durududum durududum senta pica fumando,sentando,146,26.03,funk
15,lá barraco olha pega visão brincando piru bichinho estimação olhei janela avistei vizinha menina carinhosa brincando xaninha aí perdi tempo pra ficar susu botei xaninha pra brincar piru piru piru piru uh uh faz miau miau glu glu glu,piru,39,71.79,funk
16,chega verão vários biquíni bumbum chega verão vários biquíni bumbum taca bunda vai taca bunda bum taca bunda vai taca bunda bum cervejada mulherada curtição azaração umas fica revoltada bebe desce chão banca entende nada nóis tá pesadão perera solta beat hit verão vai oh hit verão oh hit verão chega verão vários biquíni bumbum chega verão vários biquíni bumbum taca bunda vai taca bunda bum taca bunda vai taca bunda bum taca bunda vai taca bunda bum taca bunda vai taca bunda bum taca bunda vai taca bunda bum,taca,90,33.33,funk
17,investi felicidade cumplicidade sinceridade bondade tudo verdade esqueci modernidade maturidade pois sei dificuldade querer enxergar verdade raridade sorriso humildade riso contigo enxergo paraíso tirou deu valor poesia sabe outro dia volte né mulher dei amor tratou queria suave outro dia vai tá pé nego amor lance desilusão quero mostrar manda põe fogo fogo faz tudo novo hoje noite fim nego amor lance desilusão quero mostrar manda põe fogo fogo faz tudo novo hoje noite fim tudo tentei fiz dois faltou maturidade parte nunca deixo pra pra agora sigo frente tente invadir mente pois agora vai ser indiferente simplesmente tirou deu valor poesia sabe outro dia volte né mulher dei amor tratou queria suave outro dia vai tá pé nego amor lance desilusão quero mostrar manda põe fogo fogo faz tudo novo hoje noite fim nego amor lance desilusão quero mostrar manda põe fogo fogo faz tudo novo hoje noite fim,fogo,150,46.67,funk
18,princesa tanto tempo passou pensava acabou amor noites frias lembrava hoje pergunto perder naquele dia vi coração ia explodir ver olhar tocou coração renascendo paixão quero amor pra mim quero fazer bem feliz esqueça passou vem pra cá deixa querer deixa amar quero amor pra mim quero fazer bem feliz esqueça passou vem pra cá deixa querer deixa amar olha amor sofri queria ter aqui chegava noite começava chorar pedia deus pra voltar voltou tempo passou hoje aqui frente frente ti sei esqueci quero amor pra mim quero fazer bem feliz esqueça passou vem pra cá deixa querer deixa amar quero amor pra mim quero fazer bem feliz esqueça passou vem pra cá deixa querer deixa amar olha amor sofri queria ter aqui chegava noite começava chorar pedia deus pra voltar voltou tempo passou hoje aqui frente frente ti sei esqueci quero amor pra mim quero fazer bem feliz esqueça passou vem pra cá deixa querer deixa amar quero amor pra mim quero fazer bem feliz esqueça passou vem pra cá deixa querer deixa amar,pra,175,30.29,funk
19,bum bum bum bum bum bum bum bum bum bum bum bum bum bum bum bum opa opa opa dá licença moça dj pernambuco vai sarrando garota rebola desenrola flexiona tá sacudindo explodindo tipo bomba bumbum balança então joga potranca toma toma bumbum toma bumbum toma vai vai toma toma bumbum toma bumbum bumbum balança então joga potranca toma toma bumbum toma bumbum toma toma toma toma bumbum balança então joga potranca toma toma bumbum toma bumbum toma toma toma toma bumbum toma bumbum bumbum balança então joga potranca toma toma bumbum toma bumbum toma vai danada toma toma,toma,99,25.25,funk
20,vez história love cidade menina inocente homem humildade procurava mulher pra amar procura homem relacionar belo dia rua tudo ia mudar saindo amigas indo trabalhar desacerto farol aberto distraída dava pra mim ouvir gritos amigas miga cuidado carro direção deparei chão parei moto desci pra socorro prestar aí percebi ia apaixonar perguntei tava machucada disse tava perna ralada levantei falei cuidado aí rua toma número liga pra qualquer ajuda segui caminho continuei dia tirava cabeça menina cheguei casa deitei sofá liguei tv pensava novo ia ver peguei sono acordei ligação voz tão doce tocou coração menina cedo acidente disse gentil diferente falou queria ver chamei pra sair vamos jantar pegar cinema pra distrair cinema levei pra casa mulher sonhava pra ser amada dois anos passaram decidimos casar avisa familiares vamos pro altar dia casamento tava linda mulher sonhava vida tempo passou descobriu tava grávida fiquei feliz vamos aumentar preparar casa final gravidez tava tão bela noite chuvosa aconteceu tragédia voltando restaurante família guardando carro garagem armadilha dois bandidos encapuzados queriam roubar ter fazer falei pode levar repente escutei barulho tiro pegou peito bandidos fugiram desesperado liguei resgate chegando lá doutor disse tarde bala fatal fez morrer ainda dava pra salvar vida bebê então nasceu cena cruel filho amo aqui terra mãe céu então nasceu cena cruel filho amo aqui terra mãe céu filho amo aqui terra mãe céu filho amo aqui terra mãe céu,pra,234,72.65,funk
21,nasci rua joguei nela mero aprendiz vida favela onde certeza fé nunca morre vida real parece novela hoje quero dividir ostentar pra esperança levar pras crianças nunca desistir sonho leve gente acreditar peço pra deus caminho iluminar luta travo traga dor faço possível pra gente ganhar guerra miséria gente criou cê tá ligado quanto difícil lá cima querem derrubar embaixo pede ajuda ninguém dá mão pra levantar sonhar nunca desistir ter fé pois fácil vai ser tentar esgotar forças hoje quero dividir ostentar pra esperança levar sonhar nunca desistir ter fé pois fácil vai ser tentar esgotar forças hoje quero dividir ostentar pra esperança levar mundo sorrir criança quer ser jogador pra dar pra família futuro melhor acende luz aí fim túnel pra menor futuro enxergar hoje quero dividir ostentar pra esperança levar pras crianças nunca desistir sonho leve gente acreditar acredito pé chão vou fazer som jogar mundão quero ser bem importa estilo tanto tudo preciso família tá sempre aumentando amigos vem pra somar sinto tá atrasando chuto pra longe pra voltar sonhar nunca desistir ter fé pois fácil vai ser tentar esgotar forças hoje quero dividir ostentar pra esperança levar sonhar nunca desistir ter fé pois fácil vai ser tentar esgotar forças hoje quero dividir ostentar pra esperança levar mundo sorrir,pra,213,51.17,funk
22,pararararam pararararam virei cunhado “ to ” comendo irmã pararararam pararararam virei cunhado “ to ” comendo irmã dei ideia nela deu ideia mim dei ideia nela deu ideia mim tá procurando putaria don juan tá aqui tá procurando putaria don juan tá aqui então vai vai vai vai então pararararam pararararam virei cunhado “ to ” comendo irmã pararararam pararararam virei cunhado “ to ” comendo irmã dei ideia nela deu ideia mim dei ideia nela deu ideia mim tá procurando putaria don juan tá aqui liga aí maninho parceiro vou falar fica revoltado irmã quis dar então pararararam pararararam virei cunhado “ to ” comendo irmã pararararam pararararam virei cunhado “ to ” comendo irmã,pararararam,117,26.5,funk
23,mjoão caçador perereca terror novinha predileto sapeca faço bobo faz esperta cardápio isca predileta tá duvidando mulher tá duvidando mulher fica reta piru acerta fica reta piru acerta fica reta piru acerta tá duvidando mulher tá duvidando mulher fica reta piru acerta fica reta piru acerta fica reta piru acerta r caçador perereca terror novinha predileto sapeca faço bobo faz esperta cardápio isca predileta tá duvidando mulher tá duvidando mulher fica reta piru acerta fica reta piru acerta fica reta piru acerta mjoão caçador perereca terror novinha predileto sapeca faço bobo faz esperta cardápio isca predileta tá duvidando mulher tá duvidando mulher fica reta piru acerta fica reta piru acerta fica reta piru acerta tá duvidando mulher tá duvidando mulher fica reta piru acerta fica reta piru acerta fica reta piru acerta r caçador perereca terror novinha predileto sapeca faço bobo faz esperta cardápio isca predileta tá duvidando mulher tá duvidando mulher fica reta piru acerta fica reta piru acerta fica reta piru acerta,fica,164,13.41,funk
24,nóis '' entrou cena pra ser causador problema baile pistoleiras querem conflito moleques degustando morena deixa pra entende tema patrocínio leva vida chefe novas entram clima nóis '' brincando felinas terrorista vagabundo nato iludo ilusão bicos revolta marcar partiu pra bertioga nóis pouco louco marola forgando qualquer situação estourando boca balão ocasião faz ladrão praia nóis '' toca jetski cheiro marola ar cama guarda lembrança nóis faz dessa noite criança mil motivos pra sorrir mil histórias pra contar,nóis,78,83.33,funk
25,viu baile olho brilhou gritava nome chamava amor seguiu face instagram curtia selfie logo manhã chamou whatsapp disso esqueço falou kevinho quero beijo novinha desejo mato vontade tá bom dou beijo,beijo,31,96.77,funk
26,desde tempo vila c '' vida tudo começou anos idade quantas coisas lá ta séria aqui ta vontade papo bandido geral ta comigo motor passa ali morador fala contigo mano responsa pique bandido verdade mostra pose papo bandido sabe tudo rola normalmente complexo maré papo fazer mente vacilão aqui trabalha certo cada condição papo bandido geral ta comigo lá posto teixeira pãozin gordinho coisa momento muitos tá ligado vê blindado deixa descer bagulho sério tranquilidade peço deus proteja lá rua lá laje lálá mete bala morão rajada t.c.cu acredita tenta sorte bota cara bagulho sério mano sbrendo ta tj pontada pros t.c.p alemão pensando ta pesadão vale estratégia cai montão papo bandido geral ta comigo flecha ta fred alemão sai saindo mano gm mano pv pra chegar perto bode hoje bala vai comer mano gordinho mano beira mar muleke firme tentar vai escutar papo bandido geral ta comigo homem ta p.u tropa tudo ta juntinho mano lá ponte tudo tranquilão venda rolando firme rv tá tranquilão papo bandido geral ta comigo pra chegar perto mano tá fudido,ta,177,66.67,funk
27,oi tchutchuca sonho sonho conta quero saber assim sala vamos brincar rima souber vai tirando roupinha uso usa então tira blusa quero manhã vem tira sutiã manhã tarde noitinha então tira sainha ganhei tchutchuquinha mentira mentira perdeu tá camisinha mentira mentira perdeu tá camisinha caô ta enganada camisinha tava guardada caô ta enganada camisinha tava guardada,mentira,56,66.07,funk
28,rouba brisa acorda pra vida rouba brisa fica tentando acorda pra vida sigo jogando garota mete louco acha louca tá touca rouba brisa brisa tenta roubar tá ciente vai complicar cada assim conquistei devido lugar lugares voei ares naveguei mares formei alguns pares celulares número sempre lá tarde esquece maldade maldades quebram verdades lealdade tranquilidade pra falar vou brisar vou embrasar vai roubar brisa quer bandido avisa sorte tentar vida bandida peguei amigas melhores bebidas din pra gastar rouba brisa fica tentando acorda pra vida sigo jogando garota mete louco acha louca tá touca rouba brisa brisa suave vou voar nave faço viagem paz mim vai ouvir falar melhores bancas televisões todos canais fim amam estilo classe vontade vem quentinha ice ice assim intensamente enxergo além baby tô bem baby tô bem rouba brisa fica tentando acorda pra vida sigo jogando garota mete louco acha louca tá touca rouba brisa brisa,brisa,151,58.28,funk
29,bandida várias contato chefe pra hoje agenda lotada deixei ai tops papo balada flash fiel tá descanso hoje dia amantes assim vai alternando dia atenção corre sumiço noite tá tudo conformes pai toca evoque joga concorda bonde sempre pega gostosas ta formada orgia então gosta encosta joga concorda bonde aqui pega gostosas ta formada orgia então gosta encosta gosta encosta gosta encosta apaixonou deu irrelevante sempre deixei bem claro grifado frisado amante demonstrou perdeu chance nesse instante romance tudo continua antes apaixonou deu irrelevante sempre deixei bem claro grifado frisado amante demonstrou perdeu chance nesse instante romance tudo continua antes romance nesse instante tudo continua antes bandida várias contato chefe pra hoje agenda lotada deixei ai tops … papo balada flash fiel tá descanso hoje dia amantes assim vai alternando dia atenção corre sumiço noite tá tudo conformes pai toca evoque joga concorda bonde sempre pega gostosas ta formada orgia então gosta encosta joga concorda bonde aqui pega gostosas ta formada orgia então gosta encosta gosta encosta gosta encosta apaixonou deu irrelevante sempre deixei bem claro grifado frisado amante demonstrou perdeu chance nesse instante romance tudo continua antes apaixonou deu irrelevante sempre deixei bem claro grifado frisado amante demonstrou perdeu chance nesse instante romance tudo continua antes romance nesse instante tudo continua antes,tudo,213,28.64,funk
30,valesca muita polêmica muita confusão resolvi parar cantar palavrão então negão vou cantar canção vi patrão cordão r camisa azul logo encharcou xota ali percebi piscou cu sei casado diz fazer porque piroca dona vem vontade fuder então mama pega grelo mama chama piranha cama xota quer gozar quero dar quero dar mama pega grelo mama chama piranha cama xota quer gozar quero dar quero dar mama pega grelo mama chama piranha cama xota quer gozar quero dar quero dar mama pega grelo mama chama piranha cama xota quer gozar quero dar quero dar aí catra grelo tá latejando vai ser manda papo negão catra vi portão trancinha tamanco vestido azul logo latejou pau ali logo vi piscou cu puxei calcinha lado dei três cuspidas pro pau entrar então fiquei assustado porque queria mamar mama pega vara mama vem deitar cama ah maravilha mama olha bem pra mim mama mama saio chama ah vou apaixonar pô valesca sabe harém mulheres cem única ligou mamada copo d'água nega ninguém hoje peço mama vem mamar calor vem mamar amor então mama favor mama favor valesca então mama pega grelo mama chama piranha cama caralho vem mamar vem catra mama olha bem pra mim mama mama saio mama ah vou apaixonar valesca então mama quero gozar vai favor mama mama mama negão mama,mama,220,45.0,funk
31,ensinei certin ensinei certin hoje tira onda porque ensinei certin ensinei certin ensinei certin hoje tira onda porque ensinei certin olha direito pega jeito vou gostar beija medo calma desejo vou gamar cavalheiro pensa mim primeiro senão vai assustar chame pra cama chame pra festa talvez jantar afobado encaixe lado deixe escorregar dança gostosa pega roda faz arrasar abusado tarado faça acreditar perfeito homem direito pra namorar ensinei certin ensinei certin hoje tira onda porque ensinei certin ensinei certin ensinei certin hoje tira onda porque ensinei certin olha direito pega jeito vou gostar beija medo calma desejo vou gamar cavalheiro pensa mim primeiro senão vai assustar chame pra cama chame pra festa talvez jantar afobado encaixe lado deixe escorregar dança gostosa pega roda faz arrasar abusado tarado faça acreditar perfeito homem direito pra namorar ensinei certin ensinei certin hoje tira onda porque ensinei certin ensinei certin ensinei certin hoje tira onda porque ensinei certin,ensinei,154,30.52,funk
32,bota mão cima vou mostrar tá sozinha bora mundo vambora mundo acordar pra ver luz sol olhar brilho intenso farol deixa apagar vem ver deixa apagar vem ver dia anoitecer luz luar pra vim convidar pra ver vim convidar pra ver andar correr mãos dadas sei lá sentar calçada pra brincar viver tempo passar gente parar pra ver perfeita vem cá gente ajeita abraçar alguém criticar cê deixa pra lá bota mão cima vou mostrar tá sozinha bora mundo vambora mundo bota mão cima vou mostrar tá sozinha bora mundo vambora mundo acordar pra ver luz sol olhar brilho intenso farol deixa apagar vem ver deixa apagar vem ver dia anoitecer luz luar pra vim convidar pra ver vim convidar pra ver andar correr mãos dadas sei lá sentar calçada pra brincar viver tempo passar gente parar pra ver perfeita vem cá gente ajeita abraçar alguém criticar cê deixa pra lá bota mão cima vou mostrar tá sozinha bora mundo vambora mundo bota mão cima vou mostrar tá sozinha bora mundo vambora mundo,pra,173,27.75,funk
33,tá cantando embaixo chuveiro tá pensando roupa vai sair tá pensando quanto leva dinheiro tá gastando tudo tudo daqui parei aqui continuo ali quiser acompanhe olhem vou sumir parei aqui continuo ali quiser acompanhe olhem vou sumir tão fazendo festa motel tão ficando tarde quebrada pra encostar bebe chapa coco quiser fica vontade brinda verdade fechar tão fazendo festa motel tão ficando tarde quebrada pra encostar bebe chapa coco quiser fica vontade brinda verdade fechar,tá,75,53.33,funk
34,fecha time convoca bandida uísque hoje reveria atreve passo atacar agradeço dia presenciar várias fita vários perde muitos arrasta vai saber tirar onda deixar maré levar vai saber tirar onda deixar maré levar vai saber tirar onda deixar maré levar vai saber ser surfista vai afogar vamo novo corolla então sola interessa bonde partir baile funk mó daora várias gostosa pros moleque distrair vamo novo corolla então sola interessa bonde partir baile funk mó daora várias gostosa pros moleque distrair tá solteira então vem ni mim vem pode vim vai vou tá solteira então vem ni mim pode vim vem mulher ó ó quero conhecer tá solteira então vem ni mim vem ni mim pode vim vou tá solteira então vem ni mim pode vim quero conhecer vamo novo corolla então sola interessa bonde partir baile funk mó daora várias gostosa pros moleque distrair vamo novo corolla então sola interessa bonde partir baile funk mó daora várias gostosa pros moleque distrair,então,161,35.4,funk
35,paz pede paz conquista guerra pois guerra santa existe insista guerra santa paz satânica acho permita lembrar disse avatar notado história esfera sobrará pedra sobre pedra '' pois querem paz porque armas continuam ser fabricadas massa tudo nesse mundo emprestado faz sentido algum então ficar apegado agregado leva além deixa sossegado pois liberdade hoje parece cigarro carro potente mercado desculpe bolas trocadas bem frente tocou pagou comprou levou assim atual presente felicidade completa boca dente tão libertário quanto bola ferro corrente algemada pés digo crescimento econômico gerará paz terra estatística lucro leva conta miséria pudera miséria alma gera miséria humana nada nada menos reflexo atmosfera interna supunhetemos hipotéticamente então distribuição ecumênica renda informação primeiros passos evolução nesse plano além iluminar sapiência divina parco conhecimento humano pois nessa época carro frente bois supérfulo frente necessidade capacidade enxergar realidade vale riqueza mil cidades priorizas prioridades amizad priorizas prioridades cupadi priorizas prioridades camaradapriorizo qufará diferençnsupassasomos atores vestiram carapuça confudiram personagens auto sabotagem esmagamos mesmos auto imagem tal ego esclerose diria professor hermógenes veja bem tô aqui inquisidor pois diz hoje pavão amanhã espanador '' encontramos titanic último minuto pede fique digo fico porém confudir fanático religioso confudir remédio pra micose pó mico osmose classifico quase vez sempre comportamento humano quase todos fazem certo resto pura viagem ledo engano então living la vida tosca acordo chifrudo entra pemba mundo inteiro entra rosca pede deus livre moscas pensa nenhum momento limpar realmente casa tipo atitude faço tim maia mestre fazia queria passar lima shows gringa send the lima '' pois nessa época carro frente bois necessário pode ser deixado pra capacidade enxergar realidade passaporte liberdade off babylon refrão maior inimigo mesmos reféns própria ignorância ignorância própria orgulho vezes espelho mostra duro ver admitir critica bem parecido realidade choca mudança comportamento tão lenta quanto tartaruga judoca corpo alma vinil toca real gente sol nasce morre sai campo visão normal energia eterna irmão transição milênio reta final dias passam velocidade pavio bomba aceso…,pois,326,80.98,funk
36,toda ignorante sei senta igual gente grande marruda arrebenta tromba elefante gosta treta teta gigante vai sentar pro bonde vai sentar pro bonde ignorante ignorante estúpida quanta estupidez demagogia vai sen vai sen vai sentar pica quanta estupidez demagogia vai sen vai sen vai sentar pica quanta estupidez demagogia vai sentar pica vai sentar pica quanta estupidez demagogia vai sen vai sen vai sentar pica vai sentar pica,vai,68,36.76,funk
37,ei oh maconheiro oh maconheiro devolve bic devolve bic devolve bic devolve devolve devolve bic devolve devolve tô seda tô beck hoje tô naquele pique quer usar bic papo seguinte devolve devolve devolve bic devolve bic devolve bic,devolve,38,39.47,funk
